,listing_id,avg_museum_rating,avg_restaurant_rating
340,68099,3.0,4.04
341,68403,2.3,3.84
342,68765,2.8,4.29
343,68900,2.6,4.35
344,68974,1.6,4.4
345,69894,2.55,4.14
346,69921,1.8,4.25
347,70095,2.2,3.88
348,70128,2.7,4.21
349,70279,3.15,4.54
350,70381,1.9,4.13
351,70609,2.45,4.35
352,71010,3.1,3.92
353,71248,1.9,4.24
354,71366,3.2,4.3
355,71384,2.8,4.35
356,71812,2.85,3.93
357,72190,2.6,4.15
358,72265,2.6,4.39
359,74073,2.5,4.46
360,74240,2.65,4.26
361,74680,2.4,4.43
362,74860,2.65,4.36
363,75193,2.65,4.5
364,75524,3.1,4.12
365,75635,2.0,4.42
366,76761,2.9,4.16
367,77936,2.7,4.08
368,78603,2.65,4.35
369,78919,2.55,4.16
370,79067,2.7,4.21
371,79782,2.0,4.44
372,80493,2.5,4.21
373,80924,2.8,4.34
374,82550,2.55,4.15
375,82638,2.35,4.35
376,82885,2.6,4.51
377,82928,2.8,4.11
378,83243,1.95,3.99
379,83446,2.4,4.33
380,83722,2.85,4.32
381,83811,1.9,4.5
382,83847,2.65,4.48
